date,min_temperature
2017-12-17,-9.8
2017-12-18,-12.7
2017-12-19,-9.1
2017-12-20,-13.3
2017-12-21,-10.5
2017-12-22,-9.3
2017-12-23,-8.0
2017-12-24,-9.4
2017-12-25,-15.0
2017-12-26,-19.9
2017-12-27,-24.4
2017-12-28,-26.4
2017-12-29,-19.6
2017-12-30,-23.9
2017-12-31,-27.0
2018-01-01,-13.7
2018-01-02,-20.2
2018-01-03,-36.1
2018-01-04,-25.4
2018-01-05,-8.4
2018-01-06,9.7
2018-01-07,14.6
2018-01-08,5.9
2018-01-09,4.3
2018-01-10,4.5
2018-01-11,
2018-01-12,-33.6
2018-01-13,-31.3
2018-01-14,
2018-01-15,-27.0
2018-01-16,-3.9
2018-01-17,-7.6
2018-01-18,-26.4
2018-01-19,-38.4
2018-01-20,-39.2
2018-01-21,-40.2
2018-01-22,-42.2
2018-01-23,-41.1
2018-01-24,-37.6
2018-01-25,-34.2
2018-01-26,-31.3
2018-01-27,-21.5
2018-01-28,-12.4
2018-01-29,-12.6
2018-01-30,-18.6
2018-01-31,-21.6
2018-02-01,-12.9
2018-02-02,-20.7
2018-02-03,-20.5
2018-02-04,-14.8
2018-02-05,-4.4
2018-02-06,6.7
2018-02-07,15.1
2018-02-08,4.9
2018-02-09,1.9
2018-02-10,0.2
2018-02-11,-8.9
2018-02-12,-35.0
2018-02-13,-26.2
2018-02-14,-23.6
2018-02-15,-24.8
2018-02-16,-27.3
2018-02-17,-19.3
2018-02-18,-17.8
2018-02-19,-10.2
2018-02-20,
2018-02-21,-13.8
2018-02-22,-11.6
2018-02-23,-18.3
2018-02-24,-25.8
2018-02-25,-31.6
2018-02-26,-34.4
2018-02-27,
2018-02-28,-31.8
2018-03-01,-15.7
2018-03-02,-23.5
2018-03-03,-20.8
2018-03-04,-17.0
2018-03-05,-7.4
2018-03-06,4.5
2018-03-07,8.1
2018-03-08,6.1
2018-03-09,5.4
2018-03-10,4.0
2018-03-11,-11.9
2018-03-12,-28.8
2018-03-13,-20.3
2018-03-14,-13.7
2018-03-15,-8.9
2018-03-16,-5.0
2018-03-17,-5.5
2018-03-18,-2.6
2018-03-19,-3.7
2018-03-20,-16.3
2018-03-21,-11.8
2018-03-22,-9.6
2018-03-23,-12.6
2018-03-24,-16.4
2018-03-25,-19.4
2018-03-26,-11.3
2018-03-27,-6.0
2018-03-28,-21.1
2018-03-29,-16.3
2018-03-30,-13.6
2018-03-31,-19.3
2018-04-01,-17.6
2018-04-02,-22.6
2018-04-03,-15.5
2018-04-04,-16.6
2018-04-05,-7.6
2018-04-06,4.6
2018-04-07,9.8
2018-04-08,8.3
2018-04-09,2.3
2018-04-10,8.2
2018-04-11,-7.6
2018-04-12,-32.6
2018-04-13,-8.5
2018-04-14,-7.3
2018-04-15,-2.7
2018-04-16,-7.8
2018-04-17,-12.7
2018-04-18,-19.1
2018-04-19,-9.1
2018-04-20,-0.2
2018-04-21,-3.5
2018-04-22,-13.0
2018-04-23,-4.8
2018-04-24,-3.6
2018-04-25,2.8
2018-04-26,-2.6
2018-04-27,-6.8
2018-04-28,-1.1
2018-04-29,1.4
2018-04-30,6.4
2018-05-01,-19.3
2018-05-02,-18.5
2018-05-03,-12.1
2018-05-04,-1.8
2018-05-05,-6.8
2018-05-06,5.9
2018-05-07,6.4
2018-05-08,7.9
2018-05-09,7.5
2018-05-10,6.3
2018-05-11,-8.3
2018-05-12,-26.7
2018-05-13,0.1
2018-05-14,0.7
2018-05-15,0.7
2018-05-16,-5.2
2018-05-17,-6.8
2018-05-18,-1.6
2018-05-19,-5.1
2018-05-20,-1.0
2018-05-21,6.6
2018-05-22,-0.2
2018-05-23,0.8
2018-05-24,-1.7
2018-05-25,1.4
2018-05-26,-2.4
2018-05-27,0.0
2018-05-28,6.3
2018-05-29,-0.1
2018-05-30,0.7
2018-05-31,4.1
2018-06-01,-11.3
2018-06-02,-9.6
2018-06-03,-9.4
2018-06-04,0.5
2018-06-05,-10.6
2018-06-06,11.8
2018-06-07,13.5
2018-06-08,9.6
2018-06-09,9.5
2018-06-10,11.1
2018-06-11,-17.2
2018-06-12,-14.8
2018-06-13,10.8
2018-06-14,10.3
2018-06-15,12.0
2018-06-16,13.0
2018-06-17,10.4
2018-06-18,9.6
2018-06-19,13.4
2018-06-20,13.9
2018-06-21,14.7
2018-06-22,12.9
2018-06-23,13.6
2018-06-24,12.9
2018-06-25,13.8
2018-06-26,16.0
2018-06-27,19.8
2018-06-28,20.9
2018-06-29,16.8
2018-06-30,14.5
2018-07-01,-15.7
2018-07-02,-27.0
2018-07-03,-5.9
2018-07-04,-3.5
2018-07-05,-6.0
2018-07-06,18.9
2018-07-07,15.0
2018-07-08,11.2
2018-07-09,9.0
2018-07-10,9.7
2018-07-11,-11.6
2018-07-12,-14.3
2018-07-13,16.7
2018-07-14,12.8
2018-07-15,11.3
2018-07-16,11.1
2018-07-17,12.7
2018-07-18,16.9
2018-07-19,14.0
2018-07-20,11.0
2018-07-21,7.6
2018-07-22,7.2
2018-07-23,9.0
2018-07-24,15.3
2018-07-25,10.8
2018-07-26,16.5
2018-07-27,10.8
2018-07-28,12.2
2018-07-29,10.0
2018-07-30,6.4
2018-07-31,12.0
2018-08-01,-20.0
2018-08-02,-22.6
2018-08-03,-18.3
2018-08-04,-6.1
2018-08-05,-7.6
2018-08-06,20.5
2018-08-07,16.9
2018-08-08,13.7
2018-08-09,6.1
2018-08-10,4.5
2018-08-11,-11.1
2018-08-12,-10.5
2018-08-13,9.8
2018-08-14,12.0
2018-08-15,16.2
2018-08-16,15.7
2018-08-17,14.3
2018-08-18,10.7
2018-08-19,10.1
2018-08-20,4.5
2018-08-21,4.6
2018-08-22,10.8
2018-08-23,12.1
2018-08-24,6.4
2018-08-25,7.3
2018-08-26,10.9
2018-08-27,12.4
2018-08-28,10.0
2018-08-29,
2018-08-30,8.4
2018-08-31,4.6
2018-09-01,-17.1
2018-09-02,-21.1
2018-09-03,-17.8
2018-09-04,-1.0
2018-09-05,-3.2
2018-09-06,8.3
2018-09-07,19.4
2018-09-08,14.2
2018-09-09,5.3
2018-09-10,1.1
2018-09-11,-22.8
2018-09-12,-17.5
2018-09-13,1.0
2018-09-14,10.2
2018-09-15,8.7
2018-09-16,4.9
2018-09-17,-1.4
2018-09-18,0.7
2018-09-19,9.4
2018-09-20,5.2
2018-09-21,5.0
2018-09-22,6.1
2018-09-23,5.9
2018-09-24,6.0
2018-09-25,9.4
2018-09-26,9.4
2018-09-27,9.3
2018-09-28,10.9
2018-09-29,6.6
2018-09-30,5.6
2018-10-01,-13.6
2018-10-02,-18.2
2018-10-03,-23.2
2018-10-04,-1.8
2018-10-05,-0.3
2018-10-06,7.3
2018-10-07,19.7
2018-10-08,12.8
2018-10-09,4.4
2018-10-10,1.8
2018-10-11,-22.3
2018-10-12,-15.8
2018-10-13,-1.0
2018-10-14,-3.4
2018-10-15,-1.9
2018-10-16,-3.6
2018-10-17,-2.3
2018-10-18,-0.6
2018-10-19,0.3
2018-10-20,-1.4
2018-10-21,-0.1
2018-10-22,-0.1
2018-10-23,-5.7
2018-10-24,
2018-10-25,2.3
2018-10-26,1.3
2018-10-27,6.6
2018-10-28,2.7
2018-10-29,-0.9
2018-10-30,-1.5
2018-10-31,-9.4
2018-11-01,-15.9
2018-11-02,-22.6
2018-11-03,-25.4
2018-11-04,-3.1
2018-11-05,-0.5
2018-11-06,7.7
2018-11-07,17.0
2018-11-08,10.5
2018-11-09,1.8
2018-11-10,-0.3
2018-11-11,-22.5
2018-11-12,-13.0
2018-11-13,-7.1
2018-11-14,-6.4
2018-11-15,-7.4
2018-11-16,-23.2
2018-11-17,-18.8
2018-11-18,-15.5
2018-11-19,-12.3
2018-11-20,-16.4
2018-11-21,-12.4
2018-11-22,-4.2
2018-11-23,-9.8
2018-11-24,-19.6
2018-11-25,-24.6
2018-11-26,-29.6
2018-11-27,-25.1
2018-11-28,-19.6
2018-11-29,-29.6
2018-11-30,-27.7
2018-12-01,-16.4
2018-12-02,-25.4
2018-12-03,-33.2
2018-12-04,-4.3
2018-12-05,2.4
2018-12-06,9.8
2018-12-07,18.9
2018-12-08,8.0
2018-12-09,3.4
2018-12-10,5.1
2018-12-11,-11.5
2018-12-12,-17.2
2018-12-13,-13.7
2018-12-14,-11.6
2018-12-15,-7.4
2018-12-16,-5.7
2018-12-17,-6.1
2018-12-18,-4.5
2018-12-19,-14.4
2018-12-20,-28.9
2018-12-21,-24.9
2018-12-22,-23.5
2018-12-23,-39.3
2018-12-24,-39.6
2018-12-25,-31.2
2018-12-26,-28.0
2018-12-27,-27.9
2018-12-28,-28.6
2018-12-29,-16.7
2018-12-30,-11.2
2018-12-31,-18.6
2019-01-01,-16.1
2019-01-02,-45.5
2019-01-03,-16.9
2019-01-04,-3.7
2019-01-05,-12.3
2019-01-06,5.5
2019-01-07,9.0
2019-01-08,9.6
2019-01-09,8.6
2019-01-10,1.1
2019-01-11,-6.2
2019-01-12,-8.7
2019-01-13,-26.9
2019-01-14,-9.6
2019-01-15,-8.0
2019-01-16,-18.9
2019-01-17,-17.1
2019-01-18,-10.8
2019-01-19,-9.3
2019-01-20,-9.9
2019-01-21,-9.5
2019-01-22,-16.3
2019-01-23,-12.9
2019-01-24,-16.8
2019-01-25,-21.5
2019-01-26,-29.9
2019-01-27,-28.7
2019-01-28,-28.4
2019-01-29,-25.4
2019-01-30,-27.5
2019-01-31,-41.9
2019-02-01,-14.6
2019-02-02,-42.4
2019-02-03,-11.4
2019-02-04,0.4
2019-02-05,-2.1
2019-02-06,5.9
2019-02-07,10.4
2019-02-08,15.1
2019-02-09,9.9
2019-02-10,4.7
2019-02-11,-8.6
2019-02-12,-13.0
2019-02-13,-15.6
2019-02-14,-10.2
2019-02-15,-9.5
2019-02-16,-12.6
2019-02-17,-17.1
2019-02-18,-17.7
2019-02-19,-20.6
2019-02-20,-12.6
2019-02-21,-11.1
2019-02-22,-11.8
2019-02-23,-8.4
2019-02-24,-8.4
2019-02-25,-17.3
2019-02-26,-12.9
2019-02-27,-8.6
2019-02-28,-18.4
2019-03-01,-19.8
2019-03-02,-40.6
2019-03-03,-8.2
2019-03-04,-6.2
2019-03-05,2.5
2019-03-06,9.1
2019-03-07,20.2
2019-03-08,17.5
2019-03-09,6.1
2019-03-10,7.2
2019-03-11,-12.6
2019-03-12,-12.0
2019-03-13,-2.1
2019-03-14,1.2
2019-03-15,-2.1
2019-03-16,-5.5
2019-03-17,-11.7
2019-03-18,-19.3
2019-03-19,-6.7
2019-03-20,-4.1
2019-03-21,-6.7
2019-03-22,-1.9
2019-03-23,-2.3
2019-03-24,-3.9
2019-03-25,-5.0
2019-03-26,-3.1
2019-03-27,-0.5
2019-03-28,-4.8
2019-03-29,-2.2
2019-03-30,0.4
2019-03-31,0.0
2019-04-01,-11.0
2019-04-02,-40.8
2019-04-03,-4.1
2019-04-04,-6.9
2019-04-05,4.1
2019-04-06,5.1
2019-04-07,18.6
2019-04-08,13.3
2019-04-09,9.5
2019-04-10,6.6
2019-04-11,-9.3
2019-04-12,-13.0
2019-04-13,-0.3
2019-04-14,-12.6
2019-04-15,-16.2
2019-04-16,-3.1
2019-04-17,-7.7
2019-04-18,-16.3
2019-04-19,-13.6
2019-04-20,-2.5
2019-04-21,-11.8
2019-04-22,-0.1
2019-04-23,2.0
2019-04-24,-4.9
2019-04-25,-5.4
2019-04-26,-10.8
2019-04-27,-13.9
2019-04-28,-10.3
2019-04-29,-8.4
2019-04-30,-10.0
2019-05-01,-14.9
2019-05-02,-34.1
2019-05-03,-8.3
2019-05-04,-5.6
2019-05-05,7.7
2019-05-06,15.3
2019-05-07,18.1
2019-05-08,14.8
2019-05-09,4.8
2019-05-10,2.5
2019-05-11,-9.7
2019-05-12,-9.1
2019-05-13,-1.2
2019-05-14,-3.0
2019-05-15,-4.9
2019-05-16,-3.4
2019-05-17,-1.3
2019-05-18,6.0
2019-05-19,2.8
2019-05-20,5.6
2019-05-21,4.9
2019-05-22,1.4
2019-05-23,-2.2
2019-05-24,4.2
2019-05-25,2.4
2019-05-26,1.2
2019-05-27,3.1
2019-05-28,9.4
2019-05-29,9.6
2019-05-30,4.2
2019-05-31,0.0
2019-06-01,-28.8
2019-06-02,-38.4
2019-06-03,-17.3
2019-06-04,-0.9
2019-06-05,5.9
2019-06-06,14.8
2019-06-07,15.5
2019-06-08,11.6
2019-06-09,6.0
2019-06-10,6.4
2019-06-11,-3.1
2019-06-12,-11.8
2019-06-13,11.0
2019-06-14,
2019-06-15,3.3
2019-06-16,7.1
2019-06-17,8.6
2019-06-18,6.6
2019-06-19,9.2
2019-06-20,6.3
2019-06-21,11.2
2019-06-22,8.3
2019-06-23,5.9
2019-06-24,7.9
2019-06-25,12.8
2019-06-26,8.5
2019-06-27,10.0
2019-06-28,9.4
2019-06-29,5.0
2019-06-30,11.6
2019-07-01,-11.0
2019-07-02,-37.6
2019-07-03,-8.5
2019-07-04,-6.0
2019-07-05,6.9
2019-07-06,18.0
2019-07-07,13.7
2019-07-08,17.8
2019-07-09,9.7
2019-07-10,4.9
2019-07-11,-0.6
2019-07-12,-12.0
2019-07-13,17.4
2019-07-14,14.7
2019-07-15,19.7
2019-07-16,19.8
2019-07-17,20.5
2019-07-18,17.0
2019-07-19,19.0
2019-07-20,16.5
2019-07-21,18.2
2019-07-22,10.2
2019-07-23,12.0
2019-07-24,16.0
2019-07-25,14.7
2019-07-26,14.3
2019-07-27,12.4
2019-07-28,8.7
2019-07-29,13.8
2019-07-30,19.0
2019-07-31,12.7
2019-08-01,-21.5
2019-08-02,-30.8
2019-08-03,-8.0
2019-08-04,-4.1
2019-08-05,2.4
2019-08-06,11.9
2019-08-07,13.5
2019-08-08,10.0
2019-08-09,4.8
2019-08-10,1.6
2019-08-11,-8.7
2019-08-12,-14.5
2019-08-13,13.8
2019-08-14,10.6
2019-08-15,12.0
2019-08-16,11.5
2019-08-17,11.5
2019-08-18,17.0
2019-08-19,11.7
2019-08-20,8.5
2019-08-21,12.4
2019-08-22,12.0
2019-08-23,11.5
2019-08-24,14.6
2019-08-25,9.6
2019-08-26,6.1
2019-08-27,12.7
2019-08-28,7.8
2019-08-29,7.0
2019-08-30,2.7
2019-08-31,9.6
2019-09-01,-16.8
2019-09-02,-29.2
2019-09-03,-13.0
2019-09-04,2.2
2019-09-05,-2.2
2019-09-06,9.2
2019-09-07,12.3
2019-09-08,9.8
2019-09-09,10.0
2019-09-10,2.4
2019-09-11,-20.6
2019-09-12,-20.4
2019-09-13,-2.0
2019-09-14,4.7
2019-09-15,5.9
2019-09-16,10.2
2019-09-17,11.1
2019-09-18,8.0
2019-09-19,9.9
2019-09-20,6.9
2019-09-21,5.5
2019-09-22,0.3
2019-09-23,5.1
2019-09-24,2.4
2019-09-25,2.4
2019-09-26,-0.3
2019-09-27,1.5
2019-09-28,1.3
2019-09-29,-2.5
2019-09-30,-2.5
2019-10-01,-32.3
2019-10-02,-22.7
2019-10-03,-6.1
2019-10-04,-5.9
2019-10-05,1.2
2019-10-06,9.4
2019-10-07,11.9
2019-10-08,11.6
2019-10-09,3.6
2019-10-10,4.0
2019-10-11,-17.6
2019-10-12,-3.8
2019-10-13,4.3
2019-10-14,5.8
2019-10-15,6.2
2019-10-16,3.9
2019-10-17,-3.4
2019-10-18,-5.1
